Question,Fine-tuned Answer
What is the size of the current configuration?,8151 bytes
What is the timestamp of the last configuration change?,14:13:46 UTC Wed Jun 26 2024
Who made the last configuration change?,admin
What is the version of Cisco IOS XE?,17.12
Is timestamping enabled for debug logs?,Yes
What type of timestamp is used for debug logs in show-timezone format?,Datetime
Is timestamping enabled for log files?,Yes
What type of timestamp is used for log files in show-timezone format?,Datetime
Is the Call-Home feature enabled on this device?,Yes
What is the hostname of this Cisco device?,Cat8000V
What is the boot system command configured to do?,bootflash:packages.conf
What is the description of the VRF definition CHEMICAL?,CHEMICAL ENGINEERING FIRM
What is the RD value for the VRF definition CHEMICAL?,65000:2
What is the export route-target for the VRF definition CHEMICAL?,65000:2
What is the import route-target for the VRF definition CHEMICAL?,65000:2
What is the description of the VRF definition CHEM_MGMT?,CHEMICAL ENGINEERING MANAGER
What is the RD value for the VRF definition CHEM_MGMT?,65000:3
What is the export route-target for the VRF definition CHEM_MGMT?,65000:3
What is the import route-target for the VRF definition CHEM_MGMT?,65000:4
What is the description of the VRF definition POLICE?,POLICE DEPARTMENT
What is the RD value for the VRF definition POLICE?,65000:1
What is the export route-target for the VRF definition POLICE?,"65001:1, 65000:1"
What is the import route-target for the VRF definition POLICE?,"65001:1, 65000:1"
Is console logging enabled?,No
What is the authentication model used in this configuration?,aaa new-model
What is the authentication method used for login?,local
Who or what is being authenticated for exec commands?,local
Is AAA session-id common enabled?,Yes
What is the name of the VRF defined in this configuration?,actor
Is multicast-routing enabled for the VRF actor?,Yes
What is the multicast-routing mode for the VRF actor?,Distributed
Should IP domain lookup be performed?,No
What is the domain name set for this device?,cisco.com
What is the log action triggered when login is successful?,on-success log
Is subscriber templating enabled?,Yes
What is the version of VTP used in this configuration?,1
Is multilink bundle-name authenticated?,Yes
What is the name of the key chain?,CISCO_EIGRP
What is the value of the key in the key chain?,2
What is the key string for the key chain?,TEST125
What is the name of the trustpoint?,TP-self-signed-3209586145
What type of enrollment is used for the trustpoint?,Selfsigned
What is the subject-name specified in the trustpoint configuration?,cn=IOS-Self-Signed-Certificate-3209586145
Is revocation-check enabled or disabled for the trustpoint?,None (disabled)
